,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,brand,torque_nm,torque_max_rpm
882,2013,80000,30000,petrol,individual,manual,first owner,25.4,624.0,37.48,4,tata nano,51.0,4000
883,2015,600000,110000,diesel,individual,manual,first owner,26.21,1248.0,88.5,5,maruti ciaz,200.0,1750
884,2017,340000,25000,petrol,individual,manual,first owner,25.17,799.0,53.3,5,renault kwid,72.0,4386
885,2014,750000,120000,diesel,individual,manual,first owner,12.99,2494.0,100.6,7,toyota innova,200.0,3400
886,2006,100000,40000,petrol,individual,manual,first owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
887,2019,395000,10000,petrol,individual,manual,first owner,25.17,799.0,53.3,5,renault kwid,72.0,4386
888,2010,200000,65000,petrol,individual,manual,first owner,18.9,1061.0,67.0,5,maruti wagon,84.0,3500
889,2019,450000,10000,cng,individual,manual,first owner,32.910000000000004,1196.0,61.7,5,maruti eeco,85.0,3000
890,2012,180000,110000,petrol,individual,manual,second owner,13.87,1390.0,75.0,5,mahindra verito,110.0,3000
891,2008,190000,120000,diesel,individual,manual,second owner,13.6,2523.0,63.0,7,mahindra bolero,180.0,1500
892,2015,310000,72000,petrol,individual,manual,first owner,15.37,1196.0,73.0,5,maruti eeco,101.0,3000
893,2014,351000,89100,diesel,individual,manual,second owner,23.2,1248.0,73.94,5,maruti ritz,190.0,2000
894,2006,190000,94000,petrol,individual,manual,second owner,17.4,1599.0,104.0,5,chevrolet optra,148.0,3500
895,2015,225000,120000,petrol,individual,manual,second owner,21.1,814.0,55.2,5,hyundai eon,74.5,4000
896,2012,130000,110000,petrol,individual,manual,first owner,16.2,995.0,62.1,5,chevrolet spark,90.3,4200
897,2018,1000000,50000,diesel,individual,manual,first owner,28.09,1248.0,88.5,5,maruti ciaz,200.0,1750
898,2004,55000,90000,diesel,individual,manual,third owner,16.8,1405.0,62.0,5,tata indica,125.0,2500
899,2014,330000,23000,petrol,individual,manual,first owner,18.2,1199.0,82.4,5,chevrolet sail,108.5,5000
900,2013,166000,50000,petrol,individual,manual,first owner,16.8,796.0,34.2,5,maruti omni,59.0,2500
901,2017,370000,140000,cng,individual,manual,first owner,32.910000000000004,1196.0,61.7,5,maruti eeco,85.0,3000
902,2019,720000,16000,petrol,individual,automatic,first owner,17.4,1197.0,81.86,5,hyundai elite,117.0,4000
903,2019,570000,15000,petrol,individual,manual,first owner,20.14,1197.0,81.86,5,hyundai xcent,113.75,4000
904,2010,210000,200000,petrol,individual,manual,first owner,17.5,1197.0,85.8,5,maruti swift,114.0,4000
905,2009,120000,120000,petrol,individual,manual,first owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
906,2005,95000,120000,petrol,individual,manual,fourth & above owner,15.3,1341.0,83.0,5,hyundai getz,115.0,3200
907,2016,392000,38000,petrol,individual,manual,first owner,15.37,1196.0,73.0,5,maruti eeco,101.0,3000
908,2010,150000,104000,petrol,individual,manual,first owner,15.0,1368.0,90.0,5,tata manza,116.0,4750
909,2017,595000,120000,petrol,individual,manual,first owner,15.4,1497.0,117.3,7,honda br-v,145.0,4600
910,2018,833000,35000,diesel,individual,automatic,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
911,2011,280000,210000,diesel,individual,manual,first owner,22.9,1248.0,74.0,5,maruti swift,190.0,2000
912,2009,180000,85000,diesel,individual,manual,third owner,21.1,1248.0,73.9,5,maruti ritz,113.0,4500
913,2012,225000,80000,petrol,individual,manual,first owner,18.9,998.0,67.1,5,maruti wagon,90.0,3500
914,2012,1400000,50000,diesel,individual,automatic,first owner,14.84,2143.0,170.0,5,mercedes-benz new,400.0,2800
915,2010,550000,216000,diesel,individual,manual,first owner,12.8,2494.0,102.0,8,toyota innova,204.0,3400
916,2015,650000,84000,diesel,individual,manual,first owner,28.09,1248.0,88.5,5,maruti ciaz,200.0,1750
917,2012,730000,210000,diesel,individual,manual,first owner,12.99,2494.0,100.0,7,toyota innova,200.0,3400
918,2006,81000,100000,petrol,individual,manual,fourth & above owner,15.3,1341.0,83.0,5,hyundai getz,115.0,3200
919,2007,170000,78000,petrol,individual,manual,second owner,16.1,1298.0,88.2,5,maruti swift,115.0,4500
920,2002,81000,161000,petrol,individual,manual,fourth & above owner,13.0,1493.0,100.0,5,honda city,131.0,4600
921,2005,95000,70000,petrol,individual,manual,third owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
922,2017,880000,65000,diesel,individual,manual,first owner,19.98,1461.0,108.5,8,renault lodgy,245.0,1750
923,2015,200000,50000,petrol,individual,manual,first owner,25.17,799.0,53.3,5,renault kwid,72.0,4386
924,2019,480000,25000,petrol,individual,manual,first owner,20.52,1197.0,81.8,5,maruti wagon,113.0,4200
925,2013,480000,100000,diesel,individual,manual,first owner,15.96,2523.0,62.1,9,mahindra bolero,195.0,2200
926,2018,700000,6000,petrol,individual,manual,first owner,18.6,1197.0,81.83,5,hyundai i20,114.7,4000
927,2016,850000,72113,diesel,individual,manual,first owner,21.9,1498.0,98.6,7,honda brv,200.0,1750
928,2012,300000,40000,diesel,individual,manual,first owner,23.57,1396.0,70.0,5,tata indigo,140.0,3000
929,2017,650000,8000,petrol,individual,manual,first owner,18.6,1197.0,81.83,5,hyundai i20,114.7,4000
930,2010,220000,20000,petrol,individual,manual,first owner,21.1,1197.0,85.8,5,maruti ritz,114.0,4000
931,2014,450000,80000,diesel,individual,manual,first owner,23.4,1248.0,74.0,5,maruti swift,190.0,2000
932,2014,400000,90000,diesel,individual,manual,first owner,25.2,1248.0,74.0,5,maruti swift,190.0,2000
933,2018,1030000,25000,diesel,individual,manual,first owner,25.1,1248.0,88.5,5,maruti s-cross,200.0,1750
934,2010,190000,100000,diesel,individual,manual,second owner,18.8,1248.0,90.0,5,tata manza,200.0,3000
935,2006,140000,60000,petrol,individual,manual,second owner,16.6,1388.0,68.0,5,ford fiesta,163.0,2000
936,2018,800000,30000,diesel,individual,manual,first owner,21.19,1396.0,88.76,5,hyundai i20,219.66,2750
937,2007,229999,120000,diesel,individual,manual,third owner,10.5,2609.0,120.0,7,mahindra scorpio,290.0,2800
938,2011,300000,80000,diesel,individual,manual,second owner,13.93,2179.0,138.03,7,tata safari,320.0,2700
939,2010,140000,75000,petrol,individual,manual,first owner,18.6,1199.0,79.4,5,chevrolet beat,108.0,4400
940,2014,420000,90000,diesel,individual,manual,second owner,24.4,1120.0,71.01,5,hyundai xcent,180.4,2500
941,2012,300000,100000,diesel,individual,manual,third owner,23.08,1461.0,63.12,5,renault pulse,160.0,2000
942,2012,150000,110000,diesel,individual,manual,first owner,22.3,1248.0,74.0,5,tata indica,190.0,3000
943,2015,600000,90000,diesel,individual,manual,first owner,22.77,1498.0,98.59,5,ford ecosport,205.0,3250
944,2011,204999,100000,diesel,individual,manual,second owner,20.0,1399.0,68.0,5,ford figo,160.0,2000
945,2017,625000,50000,diesel,individual,manual,first owner,25.4,1186.0,73.97,5,hyundai xcent,190.25,2250
946,2011,280000,200000,diesel,individual,manual,first owner,20.5,1248.0,91.7,5,fiat grande,209.0,2000
947,2014,1050000,146000,diesel,individual,automatic,second owner,13.01,2199.0,194.3,7,hyundai santa,436.39,2500
948,2009,250000,80000,petrol,individual,manual,second owner,12.9,1598.0,102.5,5,chevrolet optra,148.0,4000
949,2010,535000,96443,diesel,individual,manual,second owner,11.57,2179.0,138.1,7,tata new,320.0,2700
950,2009,400000,100000,petrol,individual,automatic,second owner,11.7,2354.0,177.6,5,honda accord,222.0,4300
951,2019,610000,10000,petrol,individual,automatic,first owner,21.21,1197.0,81.8,5,maruti swift,113.0,4200
952,2014,511000,100000,diesel,individual,manual,first owner,23.4,1248.0,74.0,5,maruti swift,190.0,2000
953,2014,451000,91000,diesel,individual,manual,first owner,22.54,1396.0,88.73,5,hyundai i20,219.7,2750
954,2009,170000,100000,petrol,individual,manual,first owner,20.36,1197.0,78.9,5,hyundai i10,111.8,4000
955,2013,450000,120000,diesel,individual,manual,second owner,23.4,1248.0,74.0,5,maruti swift,190.0,2000
956,2011,375000,90000,petrol,individual,manual,second owner,17.0,1497.0,118.0,5,honda city,146.0,4800
957,2016,305000,60000,petrol,individual,manual,second owner,22.74,796.0,47.3,5,maruti alto,69.0,3500
958,2016,315000,51500,petrol,individual,manual,first owner,25.17,799.0,53.3,5,renault kwid,72.0,4386
959,2016,250000,60000,diesel,individual,manual,second owner,22.1,1248.0,74.0,5,chevrolet sail,190.0,1750
960,2012,200000,104500,diesel,individual,manual,second owner,20.0,1399.0,68.0,5,ford figo,160.0,2000
961,2012,400000,120000,diesel,individual,manual,third owner,19.01,1461.0,108.45,5,renault duster,248.0,2250
962,2014,509999,100000,diesel,individual,manual,second owner,22.9,1248.0,74.0,5,maruti swift,190.0,2000
963,2008,375000,90000,petrol,individual,manual,third owner,13.5,1799.0,130.0,5,honda civic,172.0,4300
964,2005,150000,150000,petrol,individual,manual,third owner,18.9,998.0,67.1,5,maruti wagon,90.0,3500
965,2006,75000,60000,petrol,individual,automatic,first owner,18.9,998.0,67.1,5,maruti wagon,90.0,3500
966,2015,465000,50000,petrol,individual,manual,second owner,17.43,1396.0,105.5,5,hyundai verna,135.3,5000
967,2019,700000,10000,diesel,individual,manual,first owner,24.0,1186.0,73.97,5,hyundai grand,190.24,2250
968,2015,950000,120000,diesel,individual,manual,third owner,15.4,1997.0,120.0,7,mahindra scorpio,280.0,2800
969,2017,610000,40000,petrol,individual,manual,first owner,18.6,1197.0,81.83,5,hyundai i20,114.7,4000
970,2014,235000,50000,petrol,individual,manual,first owner,22.74,796.0,47.3,5,maruti alto,69.0,3500
971,2014,472000,90000,diesel,individual,manual,first owner,20.45,1461.0,83.8,5,nissan terrano,200.0,1900
972,2019,585000,10000,petrol,individual,manual,first owner,21.21,1197.0,81.8,5,maruti swift,113.0,4200
973,2019,360000,27000,petrol,individual,manual,first owner,23.95,998.0,67.05,5,maruti alto,90.0,3500
974,2016,649000,70000,diesel,individual,manual,first owner,26.59,1248.0,74.0,5,maruti swift,190.0,2000
975,2017,200000,50000,petrol,individual,manual,first owner,16.8,796.0,34.2,5,maruti omni,59.0,2500
976,2014,400000,110000,diesel,individual,manual,first owner,24.0,1120.0,70.0,5,hyundai grand,160.0,2750
977,2015,250000,100000,diesel,individual,manual,second owner,27.62,793.0,47.0,5,maruti celerio,125.0,2000
978,2018,1200000,50000,diesel,individual,manual,first owner,17.3,1497.0,121.0,7,mahindra marazzo,300.0,2500
979,2009,250000,105000,diesel,individual,manual,second owner,17.8,1248.0,75.0,5,maruti swift,190.0,2000
980,2013,819999,110000,diesel,individual,manual,first owner,12.99,2494.0,100.6,8,toyota innova,200.0,3600
981,2014,800000,60000,diesel,individual,manual,second owner,15.1,2179.0,140.0,7,mahindra xuv500,330.0,2800
982,2010,150000,60000,petrol,individual,manual,third owner,17.92,1086.0,62.1,5,hyundai santro,96.1,3000
983,2012,170000,90000,diesel,individual,manual,first owner,25.44,936.0,57.6,5,chevrolet beat,150.0,1750
984,2013,360000,81000,diesel,individual,manual,second owner,19.01,1461.0,108.45,5,renault duster,248.0,2250
985,2018,570000,80000,diesel,individual,manual,first owner,25.4,1186.0,73.97,5,hyundai xcent,190.25,2250
986,2012,350000,105000,diesel,individual,manual,second owner,19.01,1461.0,108.45,5,renault duster,248.0,2250
987,2017,700000,227000,petrol,individual,manual,first owner,17.5,1373.0,91.1,7,maruti ertiga,130.0,4000
988,2012,375000,100000,diesel,individual,manual,second owner,19.01,1461.0,108.45,5,renault duster,248.0,2250
989,2019,450000,60000,cng,individual,manual,first owner,32.910000000000004,1196.0,61.7,5,maruti eeco,85.0,3000
990,2013,325000,70000,diesel,individual,manual,third owner,21.9,1396.0,88.76,5,hyundai i20,219.6,2750
991,2011,260000,120000,diesel,individual,manual,third owner,20.54,1598.0,103.6,5,volkswagen vento,250.0,2500
992,2009,130000,80000,petrol,individual,manual,third owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
993,2008,150000,120000,diesel,individual,manual,fourth & above owner,11.57,2179.0,138.1,7,tata new,320.0,2700
994,2014,220000,40000,petrol,individual,manual,first owner,17.92,1086.0,62.1,5,hyundai santro,96.1,3000
995,2014,275000,53000,petrol,individual,manual,first owner,20.36,1197.0,78.9,5,hyundai i10,111.7,4000
996,2017,455000,60000,diesel,individual,manual,first owner,25.2,1248.0,74.0,5,maruti swift,190.0,2000
997,2017,570000,30000,petrol,individual,manual,first owner,18.6,1197.0,81.83,5,hyundai i20,114.7,4000
998,2013,330000,100000,diesel,individual,manual,third owner,20.54,1598.0,103.6,5,volkswagen vento,250.0,2500
999,2018,1576000,70000,diesel,individual,manual,first owner,13.68,2393.0,147.8,7,toyota innova,343.0,2800
1000,2012,450000,98000,diesel,individual,manual,fourth & above owner,20.77,1248.0,88.8,7,maruti ertiga,200.0,1750
1001,2014,250000,60000,petrol,individual,manual,first owner,21.1,814.0,55.2,5,hyundai eon,74.5,4000
1002,2010,165000,80000,petrol,individual,manual,third owner,20.36,1197.0,78.9,5,hyundai i10,111.8,4000
1003,2013,800000,117000,diesel,dealer,automatic,first owner,11.18,2696.0,184.0,7,mahindra ssangyong,402.0,3000
1004,2017,525000,19723,petrol,dealer,automatic,first owner,20.3,1199.0,84.0,5,tata tigor,114.0,3500
1005,2016,825000,21446,petrol,dealer,manual,first owner,16.8,1497.0,116.3,5,honda city,146.0,4800
1006,2017,750000,52289,diesel,dealer,manual,first owner,25.1,1248.0,88.5,5,maruti s-cross,200.0,1750
1007,2017,950000,54470,diesel,dealer,manual,first owner,15.4,2179.0,120.0,7,mahindra scorpio,280.0,2800
1008,2017,675000,25471,diesel,dealer,manual,first owner,21.9,1396.0,90.0,5,hyundai i20,224.0,2750
1009,2019,490000,33928,petrol,dealer,manual,first owner,23.84,1199.0,84.48,5,tata tiago,113.0,3300
1010,2009,350000,54290,petrol,dealer,manual,first owner,17.0,1497.0,118.0,5,honda city,146.0,4800
1011,2016,475000,2118,petrol,dealer,manual,first owner,19.4,1198.0,86.8,5,honda brio,109.0,4500
1012,2017,950000,61379,diesel,dealer,manual,first owner,15.4,2179.0,120.0,7,mahindra scorpio,280.0,2800
1013,2010,350000,58544,petrol,dealer,manual,second owner,17.4,1497.0,117.3,5,honda city,145.0,4600
1014,2016,400000,74381,petrol,dealer,manual,first owner,21.79,998.0,67.05,5,maruti wagon,90.0,3500
1015,2001,75000,35000,petrol,individual,manual,third owner,16.1,796.0,37.0,4,maruti 800,59.0,2500
1016,2008,175000,65000,petrol,dealer,manual,second owner,18.9,998.0,67.1,5,maruti wagon,90.0,3500
1017,2014,570000,74000,diesel,dealer,manual,first owner,15.96,2523.0,62.1,7,mahindra bolero,195.0,2200
1018,2012,270000,56000,petrol,individual,manual,first owner,20.36,1197.0,78.9,5,hyundai i10,111.7,4000
1019,2019,434999,19500,petrol,dealer,manual,first owner,20.3,1086.0,68.07,5,hyundai santro,99.07,4500
1020,2015,495000,30000,petrol,dealer,manual,first owner,18.6,1197.0,81.83,5,hyundai i20,114.7,4000
1021,2017,600000,5000,petrol,individual,manual,first owner,20.14,1197.0,81.86,5,hyundai xcent,113.75,4000
1022,2015,700000,25000,petrol,individual,manual,first owner,17.01,1591.0,121.4,5,hyundai verna,154.9,4200
1023,2005,250000,80000,diesel,individual,manual,first owner,13.6,2523.0,63.0,7,mahindra bolero,180.0,1500
1024,2013,409999,29000,petrol,individual,manual,second owner,15.0,1598.0,103.5,5,skoda rapid,153.0,3800
1025,2016,495000,56832,diesel,dealer,manual,first owner,19.87,1461.0,83.14,5,nissan terrano,200.0,1750
1026,2014,470000,30528,petrol,dealer,manual,first owner,18.6,1197.0,81.86,5,hyundai elite,114.73,4000
1027,2013,350000,65285,diesel,dealer,manual,first owner,24.7,1498.0,98.63,5,honda amaze,200.0,1750
1028,2020,1560000,20102,diesel,dealer,manual,first owner,13.68,2393.0,147.51,8,toyota innova,343.0,2800
1029,2015,480000,43000,petrol,dealer,manual,first owner,18.7,1199.0,88.7,5,honda jazz,110.0,4800
1030,2013,270000,52380,diesel,dealer,manual,first owner,23.59,1364.0,67.04,5,toyota etios,170.0,2400
1031,2018,660000,74250,diesel,dealer,manual,first owner,21.0,1498.0,74.96,7,mahindra bolero,210.0,2200
1032,2017,490000,57247,petrol,dealer,automatic,first owner,20.89,1197.0,81.8,5,maruti ignis,113.0,4200
1033,2017,800000,52000,diesel,individual,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
1034,2011,350000,47000,petrol,individual,manual,second owner,16.95,1498.0,97.7,5,nissan sunny,134.0,4000
1035,2011,170000,80000,diesel,individual,manual,third owner,17.8,1399.0,68.0,5,ford fiesta,163.0,2000
1036,2011,125000,85000,diesel,individual,manual,second owner,18.0,1248.0,75.0,5,tata indica,190.0,1750
1037,2012,400000,100000,diesel,individual,manual,first owner,19.3,1248.0,73.9,5,maruti swift,190.0,2000
1038,2011,250000,110000,petrol,individual,manual,first owner,16.95,1498.0,97.7,5,nissan sunny,134.0,4000
1039,2010,190000,178000,diesel,individual,manual,second owner,20.4,1248.0,91.7,5,fiat linea,209.0,2000
1040,2010,125000,120000,petrol,individual,manual,third owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
1041,2017,1950000,70000,diesel,individual,manual,first owner,16.3,1956.0,170.0,5,jeep compass,350.0,2500
1042,2011,1300000,120000,diesel,individual,automatic,first owner,12.8,1968.0,167.6,5,audi q5,350.0,2500
1043,2010,786000,155000,diesel,individual,manual,third owner,12.8,2494.0,102.0,8,toyota innova,204.0,3400
1044,2015,335000,30000,petrol,individual,manual,first owner,20.51,998.0,67.04,5,maruti wagon,90.0,3500
1045,2009,114999,60000,petrol,individual,manual,third owner,18.9,1061.0,67.0,5,maruti wagon,84.0,3500
1046,2012,229999,70000,diesel,individual,manual,fourth & above owner,22.07,1199.0,73.9,5,volkswagen polo,180.0,2000
1047,2012,395000,120000,diesel,individual,manual,first owner,22.32,1582.0,126.32,5,hyundai verna,259.8,2750
1048,2015,500000,120000,diesel,individual,manual,first owner,26.59,1248.0,74.0,5,maruti swift,190.0,2000
1049,2013,240000,100000,diesel,individual,manual,first owner,20.0,1399.0,68.1,5,ford figo,160.0,2000
1050,2010,215000,120000,diesel,individual,manual,third owner,23.0,1396.0,90.0,5,hyundai i20,224.0,2750
1051,2012,400000,90000,diesel,individual,manual,second owner,22.9,1248.0,74.0,5,maruti swift,190.0,2000
1052,2012,191000,90000,petrol,individual,manual,first owner,19.0,998.0,67.1,5,maruti zen,90.0,3500
1053,2013,351000,100000,diesel,individual,manual,second owner,14.0,2498.0,112.0,8,mahindra xylo,260.0,2200
1054,2011,300000,120000,petrol,individual,manual,third owner,17.6,1496.0,88.7,5,toyota etios,132.0,3000
1055,2017,700000,35000,diesel,individual,manual,first owner,25.83,1498.0,99.0,5,ford figo,215.0,3000
1056,2002,120000,120000,petrol,individual,manual,first owner,16.1,796.0,37.0,4,maruti 800,59.0,2500
1057,2019,850000,10000,diesel,individual,manual,first owner,22.54,1396.0,88.76,5,hyundai elite,224.0,2750
1058,2017,770000,65000,diesel,individual,manual,second owner,25.5,1498.0,98.6,5,honda wr-v,200.0,1750
1059,2007,245000,90000,petrol,individual,manual,third owner,13.5,1799.0,130.0,5,honda civic,172.0,4300
1060,2012,250000,90000,petrol,individual,manual,first owner,20.92,998.0,67.1,5,maruti alto,90.0,3500
1061,2016,651000,42323,diesel,dealer,manual,first owner,21.19,1396.0,88.76,5,hyundai i20,219.66,2750
1062,2013,480000,42462,petrol,dealer,manual,first owner,16.8,1497.0,116.3,5,honda city,146.0,4800
1063,2015,470000,54723,diesel,dealer,manual,first owner,25.2,1248.0,74.0,5,maruti swift,190.0,2000
1064,2011,1075000,42545,diesel,dealer,automatic,first owner,19.62,1998.0,190.0,5,bmw x1,400.0,2500
1065,2016,690000,32000,diesel,dealer,manual,first owner,25.1,1248.0,88.5,5,maruti s-cross,200.0,1750
1066,2018,480000,20375,petrol,dealer,manual,first owner,20.89,1197.0,81.8,5,maruti ignis,113.0,4200
1067,2013,450000,43978,diesel,dealer,manual,second owner,28.4,1248.0,74.0,5,maruti swift,190.0,2000
1068,2018,770000,50000,diesel,individual,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
1069,2018,700000,30000,petrol,individual,manual,first owner,18.6,1197.0,81.83,5,hyundai i20,114.7,4000
1070,2014,560000,90000,diesel,individual,manual,first owner,20.77,1248.0,88.8,7,maruti ertiga,200.0,1750
1071,2013,475000,48000,diesel,dealer,manual,second owner,21.7,1498.0,98.96,5,ford ecosport,215.0,2500
1072,2014,465000,27233,diesel,dealer,manual,first owner,27.4,1498.0,98.63,5,honda amaze,200.0,1750
1073,2017,520000,28832,diesel,dealer,manual,first owner,23.4,1248.0,74.0,5,maruti swift,190.0,2000
1074,2011,225000,35000,petrol,individual,manual,first owner,15.0,1368.0,90.0,5,tata manza,116.0,4750
1075,2015,700000,35000,petrol,individual,manual,first owner,16.02,1373.0,93.7,7,maruti ertiga,130.0,4000
1076,2006,93150,80000,petrol,individual,manual,second owner,17.7,1497.0,78.0,5,honda city,127.0,2700
1077,2016,403000,30000,diesel,individual,manual,second owner,17.21,1493.0,100.0,7,mahindra quanto,240.0,2800
1078,2009,229999,50000,petrol,individual,manual,second owner,19.81,1086.0,68.05,5,hyundai i10,99.04,4500
1079,2016,525000,40000,diesel,individual,manual,second owner,26.59,1248.0,74.0,5,maruti swift,190.0,2000
1080,2020,830000,120000,diesel,individual,manual,first owner,15.1,2179.0,152.87,7,mahindra xuv500,360.0,2800
1081,2011,250000,60000,diesel,individual,manual,second owner,21.1,1248.0,73.9,5,maruti ritz,113.0,4500
1082,2014,450000,110000,diesel,individual,manual,first owner,15.96,2523.0,63.0,9,mahindra bolero,180.0,1500
1083,2016,745000,67000,diesel,individual,manual,first owner,15.4,1997.0,120.0,7,mahindra scorpio,280.0,2800
1084,2010,144000,50000,diesel,individual,manual,second owner,20.0,1399.0,68.0,5,ford figo,160.0,2000
1085,2008,120000,40000,petrol,individual,manual,first owner,18.2,1061.0,64.0,5,maruti zen,84.0,3500
1086,2003,300000,98000,diesel,individual,manual,first owner,10.5,2179.0,120.0,8,mahindra scorpio,290.0,2800
1087,2015,475000,120000,diesel,individual,manual,first owner,23.59,1364.0,67.05,5,toyota etios,170.0,2400
1088,1994,45000,60000,petrol,individual,manual,first owner,16.1,796.0,37.0,4,maruti 800,59.0,2500
1089,2017,775000,80000,diesel,individual,manual,first owner,24.3,1248.0,88.5,5,maruti vitara,200.0,1750
1090,2015,700000,50000,diesel,individual,manual,first owner,20.77,1248.0,88.76,7,maruti ertiga,200.0,1750
1091,2014,530000,90000,diesel,individual,manual,first owner,25.2,1248.0,74.0,5,maruti swift,190.0,2000
1092,2017,869999,70000,diesel,individual,manual,first owner,21.5,1497.0,108.5,5,tata nexon,260.0,2750
1093,2006,155000,110000,diesel,individual,manual,fourth & above owner,14.9,1991.0,112.2,5,hyundai elantra,250.0,2800
1094,2019,550000,30000,petrol,individual,automatic,first owner,23.84,1199.0,83.83,5,tata tiago,114.0,3500
1095,2016,600000,80000,diesel,individual,manual,second owner,26.59,1248.0,74.0,5,maruti swift,190.0,2000
1096,2012,430000,110000,diesel,individual,manual,second owner,19.3,1248.0,73.9,5,maruti swift,190.0,2000
1097,2003,120000,120000,petrol,individual,manual,third owner,17.3,993.0,60.0,5,maruti zen,78.0,4500
1098,2014,565000,70000,petrol,individual,manual,second owner,18.6,1197.0,81.83,5,hyundai i20,114.7,4000
1099,2018,850000,60000,diesel,individual,manual,first owner,22.54,1396.0,88.76,5,hyundai elite,224.0,2750
1100,2006,160000,90000,petrol,individual,manual,first owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
1101,2011,450000,90000,diesel,individual,manual,third owner,12.05,2179.0,120.0,8,mahindra scorpio,290.0,2800
1102,2015,310000,50000,petrol,individual,manual,first owner,19.81,1086.0,68.05,5,hyundai i10,99.04,4500
1103,2013,250000,90000,diesel,individual,manual,third owner,25.8,1498.0,98.6,5,honda amaze,200.0,1750
1104,2015,420000,115000,diesel,individual,manual,second owner,26.59,1248.0,74.0,5,maruti swift,190.0,2000
1105,2013,330000,150000,petrol,individual,automatic,second owner,15.0,1396.0,98.6,5,hyundai i20,136.3,4200
1106,2015,405000,68000,petrol,individual,manual,second owner,20.4,1197.0,81.8,5,maruti swift,113.0,4200
1107,2013,400000,90000,diesel,individual,manual,second owner,15.96,2523.0,62.1,7,mahindra bolero,195.0,2200
1108,2010,409999,110000,petrol,individual,automatic,third owner,15.6,1497.0,116.3,5,honda city,146.0,4800
1109,2013,500000,70000,diesel,individual,manual,second owner,15.96,2523.0,62.1,7,mahindra bolero,195.0,2200
1110,2007,135000,100000,petrol,individual,manual,second owner,19.81,1086.0,68.05,5,hyundai i10,99.04,4500
1111,2004,45000,77000,petrol,individual,manual,third owner,16.1,796.0,37.0,4,maruti 800,59.0,2500
1112,2018,650000,35500,diesel,individual,manual,first owner,28.4,1248.0,74.02,5,maruti swift,190.0,2000
1113,2018,400000,17500,petrol,individual,manual,first owner,20.51,998.0,67.04,5,maruti wagon,90.0,3500
1114,2017,350000,27000,petrol,individual,manual,first owner,23.95,998.0,67.05,5,maruti alto,90.0,3500
1115,2016,350000,25000,petrol,individual,manual,first owner,20.51,998.0,67.04,5,maruti wagon,90.0,3500
1116,2015,459999,80000,diesel,individual,manual,first owner,26.59,1248.0,74.0,5,maruti swift,190.0,2000
1117,2012,185000,60000,petrol,individual,manual,second owner,19.7,796.0,46.3,5,maruti alto,62.0,3000
1118,2013,550000,38000,diesel,individual,manual,first owner,22.07,1199.0,73.9,5,volkswagen polo,180.0,2000
1119,2012,300000,100000,lpg,individual,manual,second owner,39.3,998.0,58.2,5,maruti wagon,77.0,3500
1120,2011,900000,110000,diesel,individual,manual,first owner,12.8,2494.0,102.0,8,toyota innova,204.0,3400
1121,2016,900000,92000,diesel,individual,manual,first owner,21.9,1498.0,98.6,7,honda br-v,200.0,1750
1122,2012,550000,180000,diesel,individual,manual,third owner,15.96,2523.0,62.1,9,mahindra bolero,195.0,2200
1123,2018,625000,10000,petrol,individual,manual,first owner,21.4,1197.0,83.1,5,maruti baleno,115.0,4000
1124,2017,310000,35000,petrol,individual,manual,second owner,24.7,796.0,47.3,5,maruti alto,69.0,3500
1125,2017,500000,35000,diesel,individual,manual,first owner,28.4,1248.0,74.0,5,maruti swift,190.0,2000
1126,2016,610000,23000,diesel,individual,manual,first owner,24.0,1120.0,70.0,5,hyundai grand,160.0,2750
1127,2012,150000,150000,diesel,individual,manual,third owner,19.09,1396.0,69.0,5,tata indigo,135.0,2500
1128,2015,480000,70000,diesel,individual,manual,first owner,24.4,1120.0,71.0,5,hyundai xcent,180.4,2500
1129,2017,650000,40000,petrol,individual,manual,first owner,18.6,1197.0,81.83,5,hyundai i20,114.7,4000
1130,2012,290000,100000,diesel,individual,manual,second owner,21.9,1396.0,90.0,5,hyundai i20,224.0,2750
1131,2017,300000,50000,petrol,individual,manual,second owner,24.7,796.0,47.3,5,maruti alto,69.0,3500
1132,2010,270000,120000,diesel,individual,manual,fourth & above owner,19.3,1248.0,73.9,5,maruti swift,190.0,2000
1133,2015,400000,60000,diesel,individual,manual,second owner,24.4,1120.0,71.0,5,hyundai xcent,180.4,2500
1134,2015,280000,28000,petrol,individual,manual,second owner,22.74,796.0,47.3,5,maruti alto,69.0,3500
1135,2009,250000,60000,petrol,individual,manual,third owner,17.5,1298.0,85.8,5,maruti swift,114.0,4000
1136,2018,3250000,12000,diesel,individual,automatic,first owner,10.91,3198.0,197.0,7,ford endeavour,470.0,2500
1137,2019,700000,4500,petrol,individual,manual,first owner,19.5,1199.0,88.76,5,honda amaze,110.0,4800
